id,latitude,longitude,event_type,description,update_at
143,-4.97,-78.21,Sismo,"Magnitud: 4.2, Referencia: 57 km al SO de Sta. Maria De Nieva, Condorcanqui - Amazonas",2024-02-01 00:14:18
144,-4.3,-80.54,Sismo,"Magnitud: 3.7, Referencia: 59 km al E de Mancora, Talara - Piura",2024-02-01 11:05:16
145,-18.3,-70.31,Sismo,"Magnitud: 3.9, Referencia: 33 km al S de Tacna, Tacna - Tacna",2024-02-01 12:00:16
146,-16.71,-71.24,Sismo,"Magnitud: 4.0, Referencia: 8 km al NO de La Capilla, General Sanchez Cerro - Moquegua",2024-02-01 14:14:16
147,-18.44,-69.98,Sismo,"Magnitud: 4.3, Referencia: 56 km al S de Calana, Tacna - Tacna",2024-02-02 05:40:16
148,-11.15,-74.56,Sismo,"Magnitud: 4.5, Referencia: 14 km al NE de Satipo, Satipo - Junin",2024-02-02 13:35:16
149,-11.21,-74.55,Sismo,"Magnitud: 3.9, Referencia: 11 km al NE de Satipo, Satipo - Junin",2024-02-02 18:37:16
150,-4.05,-80.59,Sismo,"Magnitud: 4.0, Referencia: 43 km al S de Zorritos, Contralmirante Villar - Tumbes",2024-02-02 20:55:16
151,-4.2,-77.74,Sismo,"Magnitud: 4.0, Referencia: 45 km al N de Sta. Maria De Nieva, Condorcanqui - Amazonas",2024-02-03 02:47:17
152,-17.37,-72.64,Sismo,"Magnitud: 4.0, Referencia: 77 km al SO de Mollendo, Islay - Arequipa",2024-02-03 08:26:16
153,-8.11,-80.1,Sismo,"Magnitud: 5.2, Referencia: 100 km al SO de San Pedro De Lloc, Pacasmayo - La Libertad",2024-02-03 23:36:16
154,-19.67,-70.07,Sismo,"Magnitud: 5.0, Referencia: 186 km al S de Tacna, Tacna - Tacna",2024-02-04 04:38:16
155,-10.94,-76.45,Sismo,"Magnitud: 4.3, Referencia: 36 km al SO de Cerro De Pasco, Pasco - Pasco",2024-02-04 09:12:16
156,-16.28,-72.59,Sismo,"Magnitud: 4.1, Referencia: 26 km al SO de Aplao, Castilla - Arequipa",2024-02-04 16:37:16
