"id","name","country","department","multiregional_or_nationalcd","province","district","location","other_places_involved","company_involved","type","activity","state","active_phases","time_of_dialogue","dialogue_mechanism","participation_dialogue","incident_of_violence","dialogue_after_violence","ombudsman_office","main_government","latitude","longitude","hash","createdAt","updatedAt","source"
4115,BP Alto Mayo,Perú,San Martín,"",Rioja,Pardo Miguel,"","","",Socioambiental,Forestales,Activo,,"","","",Sí,"","Colaboración, observación activa y supervisión",Gobierno nacional,-5.7170748917508405,-77.59999389175084,san martin-rioja-pardo miguel-forestales-socioambiental-bp alto mayo,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4116,Organizaciones y comunidades nativas de Atalaya,Perú,Ucayali,"",Atalaya,"","","","",Socioambiental,Otros,Activo,,En progreso,Mesa de diálogo: negociación mediada o asistida,Colaborador,No,"","Colaboración, observación activa y supervisión",Gobierno nacional,-10.732491341376706,-73.75930524137671,ucayali-atalaya--otros-socioambiental-organizaciones y comunidades nativas de atalaya,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4117,C.N. Awajún de El Cenepa-taladores y mineros ilegales,Perú,Amazonas,"",Condorcanqui,El Cenepa,CC.NN. Awajún de El Cenepa,"","",Socioambiental,Otros,Latente,,"","","",No,"","Colaboración, observación activa y supervisión",Gobierno nacional,-4.0528976812044775,-78.33955468120448,amazonas-condorcanqui-el cenepa-otros-socioambiental-c.n. awajun de el cenepa-taladores y mineros ilegales,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4118,Anexo Antacallanca - Minera Raura,Perú,Huánuco,"",Lauricocha,San Miguel de Cauri,Anexo Antacallanca de la C.C. San Miguel de Cauri,"",Compañía Minera Raura S.A.,Socioambiental,Minería,Latente,,"","","",Sí,Sí,Solo monitoreo,Gobierno nacional,-10.289976295240525,-76.63881379524052,huanuco-lauricocha-san miguel de cauri-mineria-socioambiental-anexo antacallanca - minera raura,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4119,Huancayo - Residuos sólidos (Lastay),Perú,Junín,"",Huancayo,El Tambo,"","Región Junín, provincia de Huancayo, distrito de Chilca","",Socioambiental,Residuos y saneamiento,Latente,,"","","",Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno local,-11.973921389289286,-75.14926638928928,junin-huancayo-el tambo-residuos y saneamiento-socioambiental-huancayo - residuos solidos (lastay),"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4120,San José de Saramuro - Pluspetrol,Perú,Loreto,"",Loreto,Urarinas,"","",Pluspetrol Norte S.A.,Socioambiental,Hidrocarburos,Latente,,"","","",No,"",Mediaciones / Facilitaciones,Gobierno nacional,-4.300232313137316,-75.49859431313732,loreto-loreto-urarinas-hidrocarburos-socioambiental-san jose de saramuro - pluspetrol,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4121,San Carlos - Pluspetrol,Perú,Loreto,"",Loreto,Trompeteros,"","",Pluspetrol Norte S.A.,Socioambiental,Hidrocarburos,Latente,,"","","",No,"","Colaboración, observación activa y supervisión",Gobierno nacional,-3.079481363636612,-75.54917936363663,loreto-loreto-trompeteros-hidrocarburos-socioambiental-san carlos - pluspetrol,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4122,RTKNN - Consorcio Camisea (Lote 88),Perú,Cusco,Multiregión,La Convención,Echarate,"Reserva Territorial Kugapakori, Nahua, Nantis","Región Ucayali, provincia de Atalaya, distrito de Sepahua","Consorcio Camisea - Pluspetrol Norte S.A., Repsol, Hunt Oil, Techint",Socioambiental,Hidrocarburos,Latente,,"","","",No,"","Colaboración, observación activa y supervisión",Gobierno nacional,-12.129243732217907,-72.7908072322179,cusco-la convencion-echarate-hidrocarburos-socioambiental-rtknn - consorcio camisea (lote 88),"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4123,Comunidad de Aquia - Antamina,Perú,Áncash,"",Bolognesi,Aquia,C.C. Aquia,"",Compañía Minera Antamina S.A.,Socioambiental,Minería,Activo,,Suspendido,Mesa de diálogo: negociación mediada o asistida,Colaborador,Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-9.962841347172853,-77.12312084717286,ancash-bolognesi-aquia-mineria-socioambiental-comunidad de aquia - antamina,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4124,Atupa y Antahurán - Barrick,Perú,Áncash,"",Huaraz,Jangas,Caserios Atupa y Antahurán,"",MInera Barrick Misquichilca S.A.,Socioambiental,Minería,Activo,,En progreso,Mesa de diálogo: negociación mediada o asistida,Colaborador,Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-9.44332344148785,-77.60218744148784,ancash-huaraz-jangas-mineria-socioambiental-atupa y antahuran - barrick,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4125,Laguna Parón - Duke Energy,Perú,Áncash,"",Huaylas,Caraz,"","",Orazul Energy Perú S.A.,Socioambiental,Energía,Activo,,En progreso,Mesa de diálogo: negociación mediada o asistida,Colaborador,Sí,No,"Colaboración, observación activa y supervisión",Gobierno nacional,-9.024393477924795,-77.7481109779248,ancash-huaylas-caraz-energia-socioambiental-laguna paron - duke energy,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
